"equals or greater than","以上"
"is not","不是"
"is not one of","不在其中"
"is","是"
"If %s of these conditions are %s:","如果 %s 其中的條件為 %s:"
TRUE,"真"
"Description: %s","敘述： %s"
"contains","包含"
"to","至"
"equals or less than","以下"
"greater than","大於"
"does not contain","不包含"
"Please choose an action to add...","請選擇一個要加入的行動"
"Perform following actions","執行下面的行動"
"by","by"
"is one of","是其一"
"ALL","全部"
FALSE,"否"
"less than","小於"
"ANY","任和"
"Expire at: %s","到期日： %s"
"Name: %s","名稱： %s"
"Please choose a condition to add...","請選擇要加入的條件..."
"Start at: %s","開始於： %s"
